window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2024-2025 Recovery,bull,5d_10%,000908.SZ,matured,2024-10-10,2024-10-17,3.75,3.99,0.06400000000000006,0.06090000000000006,146200,0.0031,0.35
2024-2025 Recovery,bull,5d_10%,000506.SZ,matured,2024-10-15,2024-10-22,1.6,1.94,0.2124999999999999,0.20939999999999992,136800,0.0031,0.35
2024-2025 Recovery,bull,5d_10%,000935.SZ,stop_loss,2024-10-22,2024-10-23,20.66,19.627,-0.05,-0.0531,7900,0.0031,0.35
2024-2025 Recovery,bull,5d_10%,000676.SZ,stop_loss,2024-10-23,2024-10-24,12.0,11.399999999999999,-0.05,-0.0531,7900,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,001289.SZ,stop_loss,2024-10-23,2024-10-24,19.35,18.3825,-0.05,-0.0531,4900,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000068.SZ,stop_loss,2024-10-25,2024-10-28,4.21,3.9995,-0.05,-0.0531,14300,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000958.SZ,matured,2024-10-21,2024-10-28,4.95,7.26,0.46666666666666656,0.46356666666666657,117600,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000506.SZ,matured,2024-10-22,2024-10-29,2.04,2.48,0.21568627450980382,0.21258627450980383,80400,0.0031,0.4
2024-2025 Recovery,recovery,5d_10%,002243.SZ,matured,2024-10-25,2024-11-01,8.54,9.53,0.11592505854800939,0.11282505854800938,7000,0.0031,0.55
2024-2025 Recovery,recovery,5d_10%,000016.SZ,matured,2024-10-25,2024-11-01,5.29,7.74,0.46313799621928164,0.46003799621928165,11400,0.0031,0.55
2024-2025 Recovery,sideways,5d_10%,000958.SZ,matured,2024-10-28,2024-11-04,7.99,9.58,0.19899874843554444,0.19589874843554445,47800,0.0031,0.5
2024-2025 Recovery,sideways,5d_10%,000917.SZ,matured,2024-10-28,2024-11-04,8.35,10.01,0.19880239520958076,0.19570239520958077,45700,0.0031,0.5
2024-2025 Recovery,recovery,5d_10%,000536.SZ,stop_loss,2024-11-05,2024-11-06,8.11,7.7044999999999995,-0.05,-0.0531,43100,0.0031,0.55
2024-2025 Recovery,bull,5d_10%,000716.SZ,stop_loss,2024-11-07,2024-11-08,7.87,7.4765,-0.05,-0.0531,19100,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000597.SZ,stop_loss,2024-11-07,2024-11-08,6.69,6.3555,-0.05,-0.0531,22500,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000929.SZ,stop_loss,2024-11-08,2024-11-11,9.66,9.177,-0.05,-0.0531,16400,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000795.SZ,matured,2024-11-04,2024-11-11,9.96,13.37,0.3423694779116464,0.3392694779116464,87800,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000826.SZ,stop_loss,2024-11-08,2024-11-12,3.18,3.021,-0.05,-0.0531,50100,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000506.SZ,stop_loss,2024-11-11,2024-11-12,4.03,3.8285,-0.05,-0.0531,139100,0.0031,0.4
2024-2025 Recovery,bull,5d_10%,000557.SZ,stop_loss,2024-11-07,2024-11-14,6.26,5.946999999999999,-0.05,-0.0531,24000,0.0031,0.35
2024-2025 Recovery,recovery,5d_10%,002065.SZ,stop_loss,2024-11-11,2024-11-15,8.57,8.1415,-0.05,-0.0531,65400,0.0031,0.45
2024-2025 Recovery,recovery,5d_10%,000908.SZ,matured,2024-11-14,2024-11-21,5.85,5.83,-0.0034188034188032956,-0.006518803418803296,113300,0.0031,0.45
2024-2025 Recovery,sideways,5d_10%,002117.SZ,stop_loss,2024-11-25,2024-11-26,11.42,10.849,-0.05,-0.0531,14900,0.0031,0.39999999999999997
2024-2025 Recovery,recovery,5d_10%,002155.SZ,stop_loss,2024-11-25,2024-11-27,22.26,21.147000000000002,-0.05,-0.0531,7600,0.0031,0.45
2024-2025 Recovery,recovery,5d_10%,000615.SZ,matured,2024-11-22,2024-11-29,3.24,3.83,0.18209876543209869,0.1789987654320987,151100,0.0031,0.45
2024-2025 Recovery,sideways,5d_10%,001308.SZ,stop_loss,2024-11-28,2024-12-03,26.5,25.174999999999997,-0.05,-0.0531,12700,0.0031,0.39999999999999997
2024-2025 Recovery,sideways,5d_10%,002006.SZ,stop_loss,2024-12-03,2024-12-04,22.88,21.735999999999997,-0.05,-0.0531,44100,0.0031,0.39999999999999997
2024-2025 Recovery,sideways,5d_10%,000008.SZ,stop_loss,2024-12-04,2024-12-06,3.71,3.5244999999999997,-0.05,-0.0531,263600,0.0031,0.44999999999999996
2024-2025 Recovery,sideways,5d_10%,002362.SZ,stop_loss,2024-12-06,2024-12-09,30.88,29.336,-0.05,-0.0531,30600,0.0031,0.44999999999999996
2024-2025 Recovery,sideways,5d_10%,000813.SZ,stop_loss,2024-12-09,2024-12-10,4.1,3.8949999999999996,-0.05,-0.0531,167700,0.0031,0.44999999999999996
2024-2025 Recovery,sideways,5d_10%,002481.SZ,stop_loss,2024-12-10,2024-12-11,6.99,6.6405,-0.05,-0.0531,96000,0.0031,0.44999999999999996
2024-2025 Recovery,sideways,5d_10%,000530.SZ,stop_loss,2024-12-13,2024-12-17,7.48,7.106,-0.05,-0.0531,40800,0.0031,0.5
