date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2023-12-21,1127236.885549998,957776.8855499979,169460.0,bear,5d_10%,1,False,0.013843657690061795,1423118.9541599995,2023 Sideways
2023-12-22,1144182.885549998,957776.8855499979,186406.0,bear,5d_10%,1,False,0.015033219917862883,1423118.9541599995,2023 Sideways
2023-12-25,1126348.885549998,957776.8855499979,168572.0,bear,5d_10%,1,False,-0.015586669076445236,1423118.9541599995,2023 Sideways
2023-12-26,1117070.6397499978,1117070.6397499978,0.0,bear,5d_10%,0,False,-0.008237452816823754,1423118.9541599995,2023 Sideways
2023-12-27,1117070.6397499978,1117070.6397499978,0.0,bear,5d_10%,0,False,0.0,1423118.9541599995,2023 Sideways
2023-12-28,1117070.6397499978,1117070.6397499978,0.0,sideways,5d_10%,0,False,0.0,1423118.9541599995,2023 Sideways
2023-12-29,1117070.6397499978,1117070.6397499978,0.0,sideways,5d_10%,0,False,0.0,1423118.9541599995,2023 Sideways
2024-01-02,1000000.0,1000000.0,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-03,989007.455,699960.455,289047.0,sideways,5d_10%,1,False,-0.01099254500000002,1000000.0,2024-2025
2024-01-04,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,-0.004946273635520804,1000000.0,2024-2025
2024-01-05,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-08,984115.5534999999,984115.5534999999,0.0,bear,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-09,984115.5534999999,984115.5534999999,0.0,bear,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-10,984115.5534999999,984115.5534999999,0.0,bear,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-11,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-12,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-15,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-16,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-17,984115.5534999999,984115.5534999999,0.0,severe_bear,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-18,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-19,984115.5534999999,984115.5534999999,0.0,sideways,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-22,984115.5534999999,984115.5534999999,0.0,severe_bear,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-23,984115.5534999999,984115.5534999999,0.0,bear,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-01-24,983151.7674999998,688511.7674999998,294640.0,sideways,5d_10%,1,False,-0.0009793423105369792,1000000.0,2024-2025
2024-01-25,976347.9050999999,482195.9050999998,494152.0,sideways,5d_10%,2,False,-0.0069204599177002946,1000000.0,2024-2025
2024-01-26,971707.1630199999,677589.1630199999,294118.0,sideways,5d_10%,1,False,-0.004753164374869723,1000000.0,2024-2025
2024-01-29,969184.34142,476696.3414199999,492488.0,bear,5d_10%,3,False,-0.0025962776606062166,1000000.0,2024-2025
2024-01-30,946440.3765999998,666961.3765999998,279479.0,bear,5d_10%,2,False,-0.023467119564351213,1000000.0,2024-2025
2024-01-31,933533.4432699998,653497.4432699998,280036.0,bear,5d_10%,2,False,-0.013637344357990133,1000000.0,2024-2025
2024-02-01,931656.5912699997,457202.5912699998,474454.0,bear,5d_10%,3,False,-0.002010481802800501,1000000.0,2024-2025
2024-02-02,906769.3877899998,770765.3877899998,136004.0,severe_bear,5d_10%,1,False,-0.026712850757675155,1000000.0,2024-2025
2024-02-05,915471.1289499999,630547.1289499999,284924.0,sideways,5d_10%,3,False,0.00959642140236805,1000000.0,2024-2025
2024-02-06,890053.06745,500965.0674499999,389088.0,sideways,5d_10%,3,False,-0.027765006122206448,1000000.0,2024-2025
2024-02-07,880546.3184499999,469488.3184499999,411058.0,sideways,5d_10%,3,False,-0.010681103574236128,1000000.0,2024-2025
2024-02-08,890091.1789899999,672921.1789899999,217170.0,recovery,5d_10%,2,False,0.01083970296622394,1000000.0,2024-2025
2024-02-19,905042.1789899999,672921.1789899999,232121.0,recovery,5d_10%,2,False,0.01679715556440531,1000000.0,2024-2025
2024-02-20,907889.1789899999,672921.1789899999,234968.0,recovery,5d_10%,2,False,0.0031457097426963454,1000000.0,2024-2025
2024-02-21,909444.1789899999,672921.1789899999,236523.0,recovery,5d_10%,2,False,0.0017127641082030909,1000000.0,2024-2025
2024-02-22,922393.31939,922393.31939,0.0,recovery,5d_10%,0,False,0.014238521394882131,1000000.0,2024-2025
2024-02-23,922393.31939,922393.31939,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-02-26,922393.31939,922393.31939,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-02-27,922393.31939,922393.31939,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-02-28,922393.31939,922393.31939,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-02-29,922393.31939,922393.31939,0.0,bull,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-03-01,922393.31939,922393.31939,0.0,bull,5d_10%,0,False,0.0,1000000.0,2024-2025
