window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,sideways,5d_10%,000153.SZ,stop_loss,2022-11-15,2022-11-16,11.83,11.2385,-0.05,-0.0531,89400,0.0031
2022 Bear,sideways,5d_10%,000863.SZ,stop_loss,2022-11-15,2022-11-17,5.85,5.557499999999999,-0.05,-0.0531,180700,0.0031
2022 Bear,sideways,5d_10%,001338.SZ,matured,2022-11-16,2022-11-23,10.8,15.82,0.4648148148148148,0.4617148148148148,133900,0.0031
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-11-23,2022-11-30,17.4,21.3,0.22413793103448287,0.22103793103448288,140600,0.0031
2022 Bear,bull,5d_10%,001333.SZ,stop_loss,2022-12-08,2022-12-12,41.95,39.8525,-0.05,-0.0531,17500,0.0031
2022 Bear,recovery,5d_10%,001256.SZ,stop_loss,2022-12-07,2022-12-13,26.14,24.833,-0.05,-0.0531,70600,0.0031
2022 Bear,bull,5d_10%,000153.SZ,matured,2022-12-07,2022-12-14,13.16,14.76,0.12158054711246202,0.11848054711246202,140400,0.0031
2022 Bear,bull,5d_10%,001338.SZ,stop_loss,2022-12-15,2022-12-19,21.8,20.71,-0.05,-0.0531,172500,0.0031
2022 Bear,recovery,5d_10%,000597.SZ,stop_loss,2022-12-19,2022-12-23,8.3,7.885000000000001,-0.05,-0.0531,216900,0.0031
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-12-19,2022-12-26,20.37,20.31,-0.002945508100147376,-0.006045508100147376,88400,0.0031
2023 Sideways,sideways,5d_10%,001301.SZ,stop_loss,2023-01-03,2023-01-04,71.43,67.8585,-0.05,-0.0531,4100,0.0031
2023 Sideways,sideways,5d_10%,000045.SZ,stop_loss,2023-01-03,2023-01-04,13.42,12.748999999999999,-0.05,-0.0531,22300,0.0031
2023 Sideways,bull,5d_10%,002253.SZ,stop_loss,2023-01-31,2023-02-01,15.99,15.1905,-0.05,-0.0531,24200,0.0031
2023 Sideways,bull,5d_10%,002362.SZ,matured,2023-01-31,2023-02-07,22.28,32.63,0.4645421903052065,0.4614421903052065,17300,0.0031
2023 Sideways,sideways,5d_10%,001314.SZ,stop_loss,2023-02-14,2023-02-20,55.44,52.66799999999999,-0.05,-0.0531,8100,0.0031
2023 Sideways,recovery,5d_10%,000752.SZ,stop_loss,2023-02-14,2023-02-21,4.71,4.4745,-0.05,-0.0531,95500,0.0031
2023 Sideways,sideways,5d_10%,001225.SZ,stop_loss,2023-02-22,2023-02-24,67.81,64.4195,-0.05,-0.0531,9500,0.0031
2023 Sideways,sideways,5d_10%,000925.SZ,dd_protection,2023-02-28,2023-02-28,11.08,10.07,-0.09115523465703967,-0.09425523465703968,56500,0.0031
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-08,2023-03-15,14.95,21.9,0.4648829431438126,0.46178294314381263,39500,0.0031
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-15,2023-03-22,24.09,30.18,0.2528019925280198,0.24970199252801983,31300,0.0031
2023 Sideways,sideways,5d_10%,000697.SZ,stop_loss,2023-05-12,2023-05-15,7.67,7.286499999999999,-0.05,-0.0531,56500,0.0031
2023 Sideways,bear,5d_10%,000656.SZ,stop_loss,2023-05-23,2023-05-25,1.01,0.9594999999999999,-0.05,-0.0531,422400,0.0031
2023 Sideways,bear,5d_10%,000711.SZ,dd_protection,2023-06-01,2023-06-07,1.48,1.71,0.15540540540540548,0.1523054054054055,283600,0.0031
2023 Sideways,sideways,5d_10%,000936.SZ,matured,2023-06-15,2023-06-26,11.45,13.82,0.20698689956331884,0.20388689956331885,61200,0.0031
2023 Sideways,sideways,5d_10%,000004.SZ,stop_loss,2023-07-14,2023-07-20,21.01,19.959500000000002,-0.05,-0.0531,37400,0.0031
2023 Sideways,sideways,5d_10%,002316.SZ,stop_loss,2023-07-20,2023-07-21,6.46,6.137,-0.05,-0.0531,117900,0.0031
2023 Sideways,bear,5d_10%,000609.SZ,stop_loss,2023-08-28,2023-08-31,6.6,6.27,-0.05,-0.0531,55800,0.0031
2023 Sideways,sideways,5d_10%,000752.SZ,matured,2023-09-11,2023-09-18,8.75,10.64,0.21599999999999997,0.21289999999999998,82900,0.0031
2023 Sideways,sideways,5d_10%,000541.SZ,stop_loss,2023-10-11,2023-10-12,7.04,6.688,-0.05,-0.0531,29000,0.0031
2023 Sideways,sideways,5d_10%,000752.SZ,stop_loss,2023-10-11,2023-10-13,8.56,8.132,-0.05,-0.0531,23900,0.0031
2023 Sideways,bear,5d_10%,002232.SZ,stop_loss,2023-10-30,2023-10-31,21.81,20.719499999999996,-0.05,-0.0531,9200,0.0031
2023 Sideways,bear,5d_10%,000676.SZ,stop_loss,2023-10-30,2023-11-01,8.06,7.657,-0.05,-0.0531,24900,0.0031
2023 Sideways,sideways,5d_10%,000615.SZ,stop_loss,2023-11-02,2023-11-03,3.83,3.6385,-0.05,-0.0531,103500,0.0031
2023 Sideways,sideways,5d_10%,002238.SZ,matured,2023-11-07,2023-11-14,10.59,12.39,0.1699716713881021,0.1668716713881021,73600,0.0031
2023 Sideways,sideways,5d_10%,000863.SZ,stop_loss,2023-11-20,2023-11-24,4.64,4.4079999999999995,-0.05,-0.0531,184900,0.0031
2023 Sideways,sideways,5d_10%,000518.SZ,stop_loss,2023-11-24,2023-11-28,4.57,4.3415,-0.05,-0.0531,90900,0.0031
2023 Sideways,sideways,5d_10%,002331.SZ,stop_loss,2023-11-24,2023-11-30,11.07,10.5165,-0.05,-0.0531,37500,0.0031
2023 Sideways,bear,5d_10%,001239.SZ,stop_loss,2023-12-20,2023-12-26,22.7,21.564999999999998,-0.05,-0.0531,8800,0.0031
2024-2025 Recovery,sideways,5d_10%,000068.SZ,stop_loss,2024-01-25,2024-01-26,5.48,5.206,-0.05,-0.0531,109400,0.0031
2024-2025 Recovery,bear,5d_10%,001379.SZ,stop_loss,2024-01-29,2024-01-30,25.21,23.9495,-0.05,-0.0531,3800,0.0031
2024-2025 Recovery,bear,5d_10%,001239.SZ,stop_loss,2024-01-29,2024-01-30,22.68,21.546,-0.05,-0.0531,4200,0.0031
2024-2025 Recovery,bear,5d_10%,002229.SZ,stop_loss,2024-01-29,2024-01-31,20.51,19.4845,-0.05,-0.0531,4700,0.0031
2024-2025 Recovery,bear,5d_10%,001270.SZ,stop_loss,2024-01-30,2024-01-31,47.77,45.3815,-0.05,-0.0531,5400,0.0031
2024-2025 Recovery,severe_bear,5d_10%,002229.SZ,stop_loss,2024-01-31,2024-02-02,18.72,17.784,-0.05,-0.0531,7500,0.0031
2024-2025 Recovery,severe_bear,5d_10%,000536.SZ,stop_loss,2024-01-31,2024-02-02,2.54,2.413,-0.05,-0.0531,55400,0.0031
2024-2025 Recovery,severe_bear,5d_10%,300123.SZ,stop_loss,2024-02-01,2024-02-02,5.2,4.9399999999999995,-0.05,-0.0531,37900,0.0031
2024-2025 Recovery,sideways,5d_10%,000536.SZ,stop_loss,2024-02-02,2024-02-05,2.42,2.299,-0.05,-0.0531,56600,0.0031
2024-2025 Recovery,sideways,5d_10%,000536.SZ,stop_loss,2024-02-05,2024-02-06,2.15,2.0425,-0.05,-0.0531,50600,0.0031
2024-2025 Recovery,sideways,5d_10%,002316.SZ,stop_loss,2024-02-05,2024-02-07,3.05,2.8974999999999995,-0.05,-0.0531,35600,0.0031
2024-2025 Recovery,sideways,5d_10%,000004.SZ,stop_loss,2024-02-05,2024-02-07,9.5,9.025,-0.05,-0.0531,11400,0.0031
2024-2025 Recovery,recovery,5d_10%,000536.SZ,stop_loss,2024-02-06,2024-02-08,2.23,2.1185,-0.05,-0.0531,125600,0.0031
2024-2025 Recovery,recovery,5d_10%,002229.SZ,stop_loss,2024-02-07,2024-02-08,16.51,15.6845,-0.05,-0.0531,7100,0.0031
2024-2025 Recovery,recovery,5d_10%,002232.SZ,matured,2024-02-05,2024-02-20,10.51,12.73,0.21122740247383454,0.20812740247383454,10300,0.0031
2024-2025 Recovery,recovery,5d_10%,000503.SZ,matured,2024-02-05,2024-02-20,7.89,9.71,0.23067173637515848,0.22757173637515848,13700,0.0031
2024-2025 Recovery,recovery,5d_10%,000925.SZ,matured,2024-02-07,2024-02-22,5.49,6.86,0.24954462659380683,0.24644462659380684,21400,0.0031
2024-2025 Recovery,bull,5d_10%,000620.SZ,stop_loss,2024-03-06,2024-03-07,1.8,1.71,-0.05,-0.0531,419600,0.0031
2024-2025 Recovery,bull,5d_10%,001324.SZ,stop_loss,2024-03-08,2024-03-11,24.65,23.417499999999997,-0.05,-0.0531,29300,0.0031
2024-2025 Recovery,bull,5d_10%,000008.SZ,dd_protection,2024-03-11,2024-03-11,3.02,2.83,-0.0629139072847682,-0.0660139072847682,229400,0.0031
2024-2025 Recovery,bull,5d_10%,000719.SZ,dd_protection,2024-03-19,2024-03-19,12.09,11.94,-0.012406947890818865,-0.015506947890818865,27100,0.0031
2024-2025 Recovery,bull,5d_10%,000710.SZ,dd_protection,2024-03-19,2024-03-19,9.7,9.88,0.01855670103092799,0.01545670103092799,33800,0.0031
2024-2025 Recovery,bull,5d_10%,000620.SZ,dd_protection,2024-05-23,2024-05-23,2.58,2.44,-0.054263565891472965,-0.05736356589147296,127100,0.0031
2024-2025 Recovery,bull,5d_10%,000609.SZ,dd_protection,2024-05-23,2024-05-23,1.95,2.02,0.03589743589743599,0.03279743589743599,168200,0.0031
2024-2025 Recovery,sideways,5d_10%,002168.SZ,dd_protection,2024-06-11,2024-06-11,2.36,2.37,0.004237288135593209,0.0011372881355932092,68800,0.0031
2024-2025 Recovery,sideways,5d_10%,000609.SZ,dd_protection,2024-06-11,2024-06-11,1.27,1.27,0.0,-0.0031,127900,0.0031
2024-2025 Recovery,sideways,5d_10%,000793.SZ,dd_protection,2024-06-11,2024-06-11,1.22,1.11,-0.09016393442622939,-0.09326393442622939,133100,0.0031
2024-2025 Recovery,bear,5d_10%,002717.SZ,dd_protection,2024-06-27,2024-06-27,0.9,0.91,0.011111111111111072,0.008011111111111071,88500,0.0031
2024-2025 Recovery,bear,5d_10%,000506.SZ,dd_protection,2024-06-27,2024-06-27,1.01,1.06,0.04950495049504955,0.04640495049504955,78800,0.0031
2024-2025 Recovery,bear,5d_10%,000908.SZ,dd_protection,2024-06-27,2024-06-27,0.8,0.84,0.04999999999999982,0.046899999999999824,99600,0.0031
2024-2025 Recovery,bear,5d_10%,002717.SZ,dd_protection,2024-07-05,2024-07-05,1.08,1.11,0.0277777777777779,0.024677777777777903,74500,0.0031
2024-2025 Recovery,bear,5d_10%,000908.SZ,dd_protection,2024-07-05,2024-07-05,0.88,0.84,-0.045454545454545525,-0.048554545454545524,91400,0.0031
2024-2025 Recovery,bear,5d_10%,000506.SZ,dd_protection,2024-07-05,2024-07-05,1.04,1.08,0.03846153846153855,0.03536153846153855,77300,0.0031
2024-2025 Recovery,sideways,5d_10%,000908.SZ,dd_protection,2024-07-15,2024-07-15,1.18,1.12,-0.05084745762711851,-0.05394745762711851,409700,0.0031
2024-2025 Recovery,sideways,5d_10%,000908.SZ,dd_protection,2024-07-23,2024-07-23,1.59,1.51,-0.05031446540880502,-0.05341446540880502,294200,0.0031
2024-2025 Recovery,bear,5d_10%,000908.SZ,dd_protection,2024-08-08,2024-08-08,2.84,2.7,-0.04929577464788726,-0.05239577464788726,79700,0.0031
2024-2025 Recovery,sideways,5d_10%,000062.SZ,dd_protection,2024-08-26,2024-08-26,19.9,18.67,-0.06180904522613051,-0.06490904522613052,22400,0.0031
2024-2025 Recovery,sideways,5d_10%,000908.SZ,dd_protection,2024-09-03,2024-09-03,5.07,4.83,-0.047337278106508895,-0.050437278106508894,84500,0.0031
2024-2025 Recovery,bear,5d_10%,000536.SZ,dd_protection,2024-09-11,2024-09-11,3.3,3.0,-0.09090909090909083,-0.09400909090909083,62900,0.0031
2024-2025 Recovery,bear,5d_10%,000004.SZ,dd_protection,2024-09-23,2024-09-23,16.66,16.06,-0.03601440576230497,-0.03911440576230497,12100,0.0031
2024-2025 Recovery,bull,5d_10%,000506.SZ,dd_protection,2024-10-16,2024-10-16,1.68,1.6,-0.04761904761904756,-0.05071904761904756,316700,0.0031
2024-2025 Recovery,bull,5d_10%,000958.SZ,dd_protection,2024-10-24,2024-10-24,6.6,6.0,-0.09090909090909083,-0.09400909090909083,38600,0.0031
2024-2025 Recovery,bull,5d_10%,000506.SZ,dd_protection,2024-10-24,2024-10-24,2.25,2.14,-0.04888888888888887,-0.05198888888888887,113400,0.0031
2024-2025 Recovery,bull,5d_10%,002065.SZ,dd_protection,2024-11-11,2024-11-11,8.57,7.79,-0.09101516919486585,-0.09411516919486586,18700,0.0031
2024-2025 Recovery,bull,5d_10%,000506.SZ,dd_protection,2024-11-11,2024-11-11,4.03,3.84,-0.047146401985111774,-0.05024640198511177,39700,0.0031
2024-2025 Recovery,bull,5d_10%,000826.SZ,dd_protection,2024-11-11,2024-11-11,3.17,3.18,0.003154574132492094,5.457413249209406e-05,50500,0.0031
2024-2025 Recovery,sideways,5d_10%,000008.SZ,dd_protection,2024-12-05,2024-12-05,4.08,3.71,-0.09068627450980393,-0.09378627450980394,85000,0.0031
2024-2025 Recovery,sideways,5d_10%,000530.SZ,dd_protection,2024-12-13,2024-12-13,7.48,6.8,-0.09090909090909094,-0.09400909090909094,43700,0.0031
2024-2025 Recovery,sideways,5d_10%,000533.SZ,dd_protection,2024-12-31,2024-12-31,6.34,6.06,-0.04416403785488965,-0.04726403785488965,48700,0.0031
2024-2025 Recovery,sideways,5d_10%,000818.SZ,dd_protection,2025-01-27,2025-01-27,18.47,16.79,-0.09095831077422845,-0.09405831077422845,16200,0.0031
2024-2025 Recovery,sideways,5d_10%,002616.SZ,dd_protection,2025-02-28,2025-02-28,6.77,6.31,-0.06794682422451992,-0.07104682422451992,41800,0.0031
2024-2025 Recovery,sideways,5d_10%,000633.SZ,dd_protection,2025-03-26,2025-03-26,5.9,5.43,-0.07966101694915262,-0.08276101694915262,45900,0.0031
2024-2025 Recovery,sideways,5d_10%,001212.SZ,dd_protection,2025-04-03,2025-04-03,42.86,38.96,-0.09099393373775078,-0.09409393373775078,6000,0.0031
2024-2025 Recovery,bear,5d_10%,000510.SZ,dd_protection,2025-04-14,2025-04-14,5.09,4.63,-0.09037328094302555,-0.09347328094302555,7900,0.0031
2024-2025 Recovery,bear,5d_10%,000670.SZ,dd_protection,2025-04-14,2025-04-14,7.09,6.84,-0.035260930888575515,-0.03836093088857551,5700,0.0031
2024-2025 Recovery,bear,5d_10%,000823.SZ,dd_protection,2025-04-14,2025-04-14,9.81,9.8,-0.0010193679918449883,-0.004119367991844989,4100,0.0031
2024-2025 Recovery,sideways,5d_10%,000826.SZ,dd_protection,2025-05-29,2025-05-29,2.51,2.28,-0.0916334661354582,-0.0947334661354582,47800,0.0031
2024-2025 Recovery,sideways,5d_10%,001230.SZ,dd_protection,2025-05-29,2025-05-29,27.67,25.55,-0.07661727502710525,-0.07971727502710525,4300,0.0031
