window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,sideways,5d_10%,001283.SZ,stop_loss,2022-09-05,2022-09-06,82.67,78.5365,-0.05,-0.0531,5900,0.0031
2022 Bear,sideways,5d_10%,000670.SZ,matured,2022-08-30,2022-09-06,9.17,10.05,0.09596510359869148,0.09286510359869148,65600,0.0031
2022 Bear,sideways,5d_10%,001259.SZ,stop_loss,2022-09-01,2022-09-07,34.41,32.689499999999995,-0.05,-0.0531,20400,0.0031
2022 Bear,bear,10d_15%,001332.SZ,stop_loss,2022-09-22,2022-09-28,82.37,78.25150000000001,-0.05,-0.0531,10700,0.0031
2022 Bear,bear,10d_15%,001330.SZ,stop_loss,2022-09-23,2022-09-29,10.44,9.918,-0.05,-0.0531,59100,0.0031
2022 Bear,bear,10d_15%,001255.SZ,stop_loss,2022-10-10,2022-10-17,34.45,32.7275,-0.05,-0.0531,12400,0.0031
2022 Bear,bear,10d_15%,001269.SZ,matured,2022-10-10,2022-10-17,27.27,39.93,0.46424642464246424,0.46114642464246425,15700,0.0031
2022 Bear,severe_bear,5d_10%,001269.SZ,matured,2022-10-17,2022-10-24,43.92,59.3,0.35018214936247705,0.34708214936247705,20700,0.0031
2022 Bear,severe_bear,5d_10%,001259.SZ,stop_loss,2022-10-21,2022-10-25,29.9,28.404999999999998,-0.05,-0.0531,21300,0.0031
2022 Bear,sideways,5d_10%,001203.SZ,stop_loss,2022-11-07,2022-11-08,16.22,15.408999999999999,-0.05,-0.0531,30600,0.0031
2022 Bear,sideways,5d_10%,001255.SZ,stop_loss,2022-11-07,2022-11-11,37.0,35.15,-0.05,-0.0531,13400,0.0031
2022 Bear,sideways,5d_10%,000153.SZ,stop_loss,2022-11-15,2022-11-16,11.83,11.2385,-0.05,-0.0531,41300,0.0031
2022 Bear,sideways,5d_10%,000863.SZ,stop_loss,2022-11-15,2022-11-17,5.85,5.557499999999999,-0.05,-0.0531,83600,0.0031
2022 Bear,sideways,5d_10%,002181.SZ,stop_loss,2022-11-17,2022-11-18,5.75,5.4624999999999995,-0.05,-0.0531,124400,0.0031
2022 Bear,sideways,5d_10%,001338.SZ,matured,2022-11-16,2022-11-23,10.8,15.82,0.4648148148148148,0.4617148148148148,76300,0.0031
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-11-23,2022-11-30,17.4,21.3,0.22413793103448287,0.22103793103448288,61200,0.0031
2022 Bear,recovery,5d_10%,000797.SZ,matured,2022-11-25,2022-12-02,3.86,4.64,0.20207253886010368,0.1989725388601037,193200,0.0031
2022 Bear,recovery,5d_10%,002316.SZ,matured,2022-11-28,2022-12-05,4.06,4.09,0.007389162561576512,0.004289162561576512,128500,0.0031
2022 Bear,bull,5d_10%,001333.SZ,stop_loss,2022-12-08,2022-12-12,41.95,39.8525,-0.05,-0.0531,14900,0.0031
2022 Bear,recovery,5d_10%,001256.SZ,stop_loss,2022-12-07,2022-12-13,26.14,24.833,-0.05,-0.0531,60200,0.0031
2022 Bear,bull,5d_10%,000153.SZ,matured,2022-12-07,2022-12-14,13.16,14.76,0.12158054711246202,0.11848054711246202,119700,0.0031
2022 Bear,bull,5d_10%,001338.SZ,stop_loss,2022-12-15,2022-12-19,21.8,20.71,-0.05,-0.0531,147000,0.0031
2022 Bear,recovery,5d_10%,000597.SZ,stop_loss,2022-12-19,2022-12-23,8.3,7.885000000000001,-0.05,-0.0531,369900,0.0031
2023 Sideways,sideways,5d_10%,001301.SZ,stop_loss,2023-01-03,2023-01-04,71.43,67.8585,-0.05,-0.0531,1300,0.0031
2023 Sideways,sideways,5d_10%,000045.SZ,stop_loss,2023-01-03,2023-01-04,13.42,12.748999999999999,-0.05,-0.0531,7400,0.0031
2023 Sideways,sideways,5d_10%,000716.SZ,stop_loss,2023-01-03,2023-01-04,9.25,8.7875,-0.05,-0.0531,10800,0.0031
2023 Sideways,bull,5d_10%,002253.SZ,stop_loss,2023-01-31,2023-02-01,15.99,15.1905,-0.05,-0.0531,24600,0.0031
2023 Sideways,bull,5d_10%,002362.SZ,matured,2023-01-31,2023-02-07,22.28,32.63,0.4645421903052065,0.4614421903052065,17600,0.0031
2023 Sideways,sideways,5d_10%,001314.SZ,stop_loss,2023-02-14,2023-02-20,55.44,52.66799999999999,-0.05,-0.0531,8200,0.0031
2023 Sideways,recovery,5d_10%,000752.SZ,stop_loss,2023-02-14,2023-02-21,4.71,4.4745,-0.05,-0.0531,97100,0.0031
2023 Sideways,sideways,5d_10%,001225.SZ,stop_loss,2023-02-22,2023-02-24,67.81,64.4195,-0.05,-0.0531,4800,0.0031
2023 Sideways,sideways,5d_10%,000925.SZ,stop_loss,2023-02-28,2023-03-01,11.08,10.526,-0.05,-0.0531,29200,0.0031
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-03,2023-03-10,11.23,16.45,0.4648263579697238,0.46172635796972383,28300,0.0031
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-10,2023-03-17,18.1,26.5,0.4640883977900552,0.4609883977900552,20000,0.0031
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-17,2023-03-24,29.15,30.47,0.04528301886792452,0.04218301886792452,14100,0.0031
2023 Sideways,sideways,5d_10%,002229.SZ,stop_loss,2023-03-23,2023-03-29,17.22,16.358999999999998,-0.05,-0.0531,16700,0.0031
2023 Sideways,sideways,5d_10%,000158.SZ,stop_loss,2023-03-27,2023-03-29,9.61,9.129499999999998,-0.05,-0.0531,34400,0.0031
2023 Sideways,recovery,5d_10%,002316.SZ,matured,2023-03-31,2023-04-10,4.18,4.47,0.06937799043062198,0.06627799043062198,48700,0.0031
2023 Sideways,recovery,5d_10%,001337.SZ,matured,2023-03-31,2023-04-10,25.82,27.83,0.07784663051897756,0.07474663051897755,7800,0.0031
2023 Sideways,sideways,5d_10%,000620.SZ,matured,2023-04-27,2023-05-09,1.49,1.46,-0.020134228187919434,-0.023234228187919433,279300,0.0031
2023 Sideways,bear,10d_15%,600928.SH,stop_loss,2023-05-09,2023-05-10,4.85,4.607499999999999,-0.05,-0.0531,85200,0.0031
2023 Sideways,sideways,5d_10%,000620.SZ,stop_loss,2023-05-12,2023-05-16,1.2,1.14,-0.05,-0.0531,237300,0.0031
2023 Sideways,bear,10d_15%,000697.SZ,stop_loss,2023-05-11,2023-05-17,7.3,6.935,-0.05,-0.0531,27800,0.0031
2023 Sideways,bear,10d_15%,001287.SZ,matured,2023-05-11,2023-05-18,26.03,27.79,0.06761429120245865,0.06451429120245865,7800,0.0031
2023 Sideways,bear,10d_15%,000656.SZ,stop_loss,2023-05-22,2023-05-24,1.05,0.9974999999999999,-0.05,-0.0531,383700,0.0031
2023 Sideways,bear,10d_15%,000711.SZ,matured,2023-05-30,2023-06-06,1.34,1.63,0.21641791044776104,0.21331791044776105,295900,0.0031
2023 Sideways,sideways,5d_10%,000936.SZ,matured,2023-06-14,2023-06-21,10.41,13.67,0.31316042267050914,0.31006042267050915,40500,0.0031
2023 Sideways,sideways,5d_10%,001324.SZ,matured,2023-06-21,2023-06-30,21.06,21.17,0.005223171889838785,0.0021231718898387848,21800,0.0031
2023 Sideways,sideways,5d_10%,000004.SZ,stop_loss,2023-07-14,2023-07-20,21.01,19.959500000000002,-0.05,-0.0531,21900,0.0031
2023 Sideways,sideways,5d_10%,002316.SZ,stop_loss,2023-07-20,2023-07-21,6.46,6.137,-0.05,-0.0531,70200,0.0031
2023 Sideways,recovery,5d_10%,000752.SZ,matured,2023-07-24,2023-07-31,4.94,5.59,0.13157894736842102,0.12847894736842103,90400,0.0031
2023 Sideways,sideways,5d_10%,000752.SZ,stop_loss,2023-08-14,2023-08-15,8.72,8.284,-0.05,-0.0531,53200,0.0031
2023 Sideways,sideways,5d_10%,002229.SZ,stop_loss,2023-08-15,2023-08-16,41.8,39.709999999999994,-0.05,-0.0531,5400,0.0031
2023 Sideways,sideways,5d_10%,000615.SZ,stop_loss,2023-08-16,2023-08-17,3.94,3.743,-0.05,-0.0531,97600,0.0031
2023 Sideways,bear,10d_15%,001324.SZ,matured,2023-08-15,2023-08-22,28.0,37.0,0.3214285714285714,0.3183285714285714,8100,0.0031
2023 Sideways,sideways,5d_10%,001268.SZ,stop_loss,2023-09-11,2023-09-12,27.0,25.65,-0.05,-0.0531,8600,0.0031
2023 Sideways,sideways,5d_10%,000752.SZ,matured,2023-09-11,2023-09-18,8.75,10.64,0.21599999999999997,0.21289999999999998,26700,0.0031
2023 Sideways,sideways,5d_10%,000766.SZ,matured,2023-09-14,2023-09-21,11.88,13.21,0.11195286195286203,0.10885286195286202,33200,0.0031
2023 Sideways,sideways,5d_10%,000752.SZ,stop_loss,2023-10-11,2023-10-13,8.56,8.132,-0.05,-0.0531,57500,0.0031
2023 Sideways,bear,10d_15%,002232.SZ,stop_loss,2023-10-27,2023-11-01,20.36,19.342,-0.05,-0.0531,23800,0.0031
2023 Sideways,sideways,5d_10%,002238.SZ,matured,2023-11-06,2023-11-13,9.63,12.85,0.3343717549325025,0.3312717549325025,49500,0.0031
2023 Sideways,sideways,5d_10%,002178.SZ,stop_loss,2023-11-15,2023-11-16,5.92,5.624,-0.05,-0.0531,61900,0.0031
2023 Sideways,sideways,5d_10%,000697.SZ,matured,2023-11-13,2023-11-20,6.15,6.07,-0.013008130081300862,-0.01610813008130086,85200,0.0031
2023 Sideways,sideways,5d_10%,000006.SZ,stop_loss,2023-11-22,2023-11-23,5.3,5.034999999999999,-0.05,-0.0531,68100,0.0031
2023 Sideways,sideways,5d_10%,000863.SZ,stop_loss,2023-11-20,2023-11-24,4.64,4.4079999999999995,-0.05,-0.0531,111200,0.0031
2023 Sideways,sideways,5d_10%,000518.SZ,stop_loss,2023-11-23,2023-11-29,4.15,3.9425000000000003,-0.05,-0.0531,85600,0.0031
2023 Sideways,sideways,5d_10%,002058.SZ,stop_loss,2023-11-28,2023-11-29,14.85,14.107499999999998,-0.05,-0.0531,26600,0.0031
2023 Sideways,bear,10d_15%,001239.SZ,stop_loss,2023-12-20,2023-12-26,22.7,21.564999999999998,-0.05,-0.0531,7500,0.0031
