date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2022-06-20,1273328.1868499992,26268.18684999917,1247060.0,bull,5d_10%,3,False,0.08066030171649419,1273328.1868499992,2022 Bear
2022-06-21,1376154.241229999,22359.241229999156,1353795.0,bull,5d_10%,3,False,0.08075377223398661,1376154.241229999,2022 Bear
2022-06-22,1354063.255429999,254951.25542999897,1099112.0,bull,5d_10%,4,False,-0.016052696084601248,1376154.241229999,2022 Bear
2022-06-23,1332737.523659999,67733.52365999896,1265004.0,bull,5d_10%,4,False,-0.01574943540080609,1376154.241229999,2022 Bear
2022-06-24,1502920.339659999,175419.33965999895,1327501.0,bull,5d_10%,3,False,0.1276941730676564,1502920.339659999,2022 Bear
2022-06-27,1592658.339659999,175419.33965999895,1417239.0,bull,5d_10%,3,False,0.05970908612515102,1592658.339659999,2022 Bear
2022-06-28,1611238.6801899988,87707.68018999891,1523531.0,bull,5d_10%,5,False,0.011666243831031764,1611238.6801899988,2022 Bear
2022-06-29,1569912.6944899987,1342381.6944899987,227531.0,bull,5d_10%,2,False,-0.025648580938441023,1611238.6801899988,2022 Bear
2022-06-30,1462935.4239899986,291261.42398999864,1171674.0,bull,5d_10%,2,False,-0.06814217814497814,1611238.6801899988,2022 Bear
2022-07-01,1539765.8379899985,59740.83798999863,1480025.0,bull,5d_10%,3,False,0.05251798045224243,1611238.6801899988,2022 Bear
2022-07-04,1680831.8675899985,20481.867589998626,1660350.0,bull,5d_10%,4,False,0.09161524831863188,1680831.8675899985,2022 Bear
2022-07-05,1831774.9402099985,40839.94020999859,1790935.0,bull,5d_10%,4,False,0.08980260044475741,1831774.9402099985,2022 Bear
2022-07-06,1992565.5927099986,8222.592709998586,1984343.0,bull,5d_10%,5,False,0.08777860695133577,1992565.5927099986,2022 Bear
2022-07-07,2010471.0053599984,289063.00535999844,1721408.0,bull,5d_10%,4,False,0.008986109524077301,2010471.0053599984,2022 Bear
2022-07-08,1866089.4825599985,125421.4825599984,1740668.0,bull,5d_10%,4,False,-0.0718147749532686,2010471.0053599984,2022 Bear
2022-07-11,1829439.4857799981,1760859.4857799981,68580.0,recovery,5d_10%,1,False,-0.019639999647670714,2010471.0053599984,2022 Bear
2022-07-12,1829747.264179998,1829747.264179998,0.0,recovery,5d_10%,0,False,0.0001682364474979714,2010471.0053599984,2022 Bear
2022-07-13,1829747.264179998,1829747.264179998,0.0,recovery,5d_10%,0,False,0.0,2010471.0053599984,2022 Bear
2022-07-14,1829747.264179998,1829747.264179998,0.0,recovery,5d_10%,0,False,0.0,2010471.0053599984,2022 Bear
2022-07-15,1829747.264179998,1829747.264179998,0.0,sideways,5d_10%,0,False,0.0,2010471.0053599984,2022 Bear
2022-07-18,1797201.841779998,1281787.841779998,515414.0,sideways,5d_10%,3,False,-0.017786840312388863,2010471.0053599984,2022 Bear
2022-07-19,1808461.009709998,1627266.009709998,181195.0,sideways,5d_10%,1,False,0.006264832178698665,2010471.0053599984,2022 Bear
2022-07-20,1807376.009709998,1627266.009709998,180110.00000000003,recovery,5d_10%,1,False,-0.0005999576403220575,2010471.0053599984,2022 Bear
2022-07-21,1828721.0101099978,1138940.0101099978,689781.0000000001,sideways,5d_10%,2,False,0.01180993898631244,2010471.0053599984,2022 Bear
2022-07-22,1791525.0652999978,919145.0652999978,872380.0,sideways,5d_10%,2,False,-0.020339868467832978,2010471.0053599984,2022 Bear
2022-07-25,1798363.8756399977,905877.8756399977,892486.0,sideways,5d_10%,3,False,0.0038173121171791724,2010471.0053599984,2022 Bear
