window,symbol,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,000301.SZ,2022-03-02,2022-03-09,17.51,14.94,-0.14677327241576255,-0.14987327241576254,100,0.0031
2022 Bear,000546.SZ,2022-03-02,2022-03-09,17.38,15.61,-0.1018411967779056,-0.1049411967779056,100,0.0031
2022 Bear,001227.SZ,2022-03-08,2022-03-15,5.32,5.38,0.011278195488721776,0.008178195488721776,17500,0.0031
2022 Bear,000953.SZ,2022-03-08,2022-03-15,10.21,7.67,-0.24877571008814892,-0.25,9100,0.0031
2022 Bear,000420.SZ,2022-03-08,2022-03-15,4.45,4.38,-0.01573033707865179,-0.01883033707865179,20900,0.0031
2022 Bear,001289.SZ,2022-03-08,2022-03-15,28.61,26.0,-0.09122684376092272,-0.09432684376092272,3200,0.0031
2022 Bear,000831.SZ,2022-03-08,2022-03-15,32.32,29.43,-0.08941831683168322,-0.09251831683168323,2800,0.0031
2022 Bear,002935.SZ,2022-03-08,2022-03-15,32.73,33.9,0.03574702108157668,0.03264702108157668,2800,0.0031
2022 Bear,000711.SZ,2022-03-08,2022-03-15,3.34,3.16,-0.053892215568862145,-0.056992215568862144,27900,0.0031
2022 Bear,000812.SZ,2022-03-08,2022-03-15,6.27,5.93,-0.054226475279106845,-0.057326475279106844,14800,0.0031
2022 Bear,000995.SZ,2022-03-08,2022-03-15,14.51,13.5,-0.06960716747070983,-0.07270716747070984,6400,0.0031
2022 Bear,002006.SZ,2022-03-08,2022-03-15,23.67,22.04,-0.06886354034643016,-0.07196354034643017,3900,0.0031
2022 Bear,002232.SZ,2022-03-09,2022-03-16,15.65,15.38,-0.017252396166134165,-0.020352396166134164,100,0.0031
2022 Bear,000933.SZ,2022-03-09,2022-03-16,12.8,11.3,-0.1171875,-0.1202875,100,0.0031
2022 Bear,000665.SZ,2022-03-09,2022-03-16,6.5,6.27,-0.03538461538461546,-0.03848461538461546,300,0.0031
2022 Bear,601069.SH,2022-03-09,2022-03-16,15.65,13.78,-0.11948881789137389,-0.1225888178913739,100,0.0031
