window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2023 Sideways,sideways,5d_10%,000045.SZ,stop_loss,2023-01-03,2023-01-04,13.42,12.748999999999999,-0.05,-0.0531,22300,0.0031,0.35
2023 Sideways,bull,5d_10%,002253.SZ,stop_loss,2023-01-31,2023-02-01,15.99,15.1905,-0.05,-0.0531,24200,0.0031,0.25
2023 Sideways,bull,5d_10%,002362.SZ,matured,2023-01-31,2023-02-07,22.28,32.63,0.4645421903052065,0.4614421903052065,17300,0.0031,0.25
2023 Sideways,sideways,5d_10%,001314.SZ,stop_loss,2023-02-14,2023-02-20,55.44,52.66799999999999,-0.05,-0.0531,8100,0.0031,0.35
2023 Sideways,recovery,5d_10%,000752.SZ,stop_loss,2023-02-14,2023-02-21,4.71,4.4745,-0.05,-0.0531,95500,0.0031,0.4
2023 Sideways,sideways,5d_10%,001225.SZ,stop_loss,2023-02-22,2023-02-24,67.81,64.4195,-0.05,-0.0531,9500,0.0031,0.35
2023 Sideways,sideways,5d_10%,000925.SZ,stop_loss,2023-02-28,2023-03-01,11.08,10.526,-0.05,-0.0531,42300,0.0031,0.35
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-03,2023-03-10,11.23,16.45,0.4648263579697238,0.46172635796972383,40800,0.0031,0.35
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-03-10,2023-03-10,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-13,2023-03-20,19.91,29.15,0.4640883977900552,0.4609883977900552,37000,0.0031,0.35
2023 Sideways,sideways,5d_10%,001337.SZ,stop_loss,2023-03-20,2023-03-22,32.07,30.4665,-0.05,-0.0531,29300,0.0031,0.35
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-04-24,2023-04-24,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-04-25,2023-04-25,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-04-26,2023-04-26,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,sideways,5d_10%,__MARKET_SHOCK__,shock_filter,2023-04-27,2023-04-27,0.0,0.0,0.0,0.0,0,0.0,0.35
2023 Sideways,sideways,5d_10%,000620.SZ,stop_loss,2023-05-12,2023-05-16,1.2,1.14,-0.05,-0.0531,379800,0.0031,0.35
2023 Sideways,bear,10d_15%,000656.SZ,stop_loss,2023-05-22,2023-05-24,1.05,0.9974999999999999,-0.05,-0.0531,299000,0.0031,0.3
2023 Sideways,bear,10d_15%,001287.SZ,matured,2023-05-17,2023-05-24,26.51,27.0,0.018483591097698815,0.015383591097698815,16900,0.0031,0.3
