window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2023 Sideways,bull,5d_10%,002253.SZ,stop_loss,2023-01-31,2023-02-01,15.99,15.1905,-0.05,-0.0531,24200,0.0031,0.25
2023 Sideways,bull,5d_10%,002362.SZ,matured,2023-01-31,2023-02-07,22.28,32.63,0.4645421903052065,0.4614421903052065,17300,0.0031,0.25
2023 Sideways,sideways,5d_10%,001314.SZ,stop_loss,2023-02-14,2023-02-20,55.44,52.66799999999999,-0.05,-0.0531,8100,0.0031,0.35
2023 Sideways,recovery,5d_10%,000752.SZ,stop_loss,2023-02-14,2023-02-21,4.71,4.4745,-0.05,-0.0531,95500,0.0031,0.4
2023 Sideways,sideways,5d_10%,001225.SZ,stop_loss,2023-02-22,2023-02-24,67.81,64.4195,-0.05,-0.0531,9500,0.0031,0.35
2023 Sideways,sideways,5d_10%,000925.SZ,stop_loss,2023-02-28,2023-03-01,11.08,10.526,-0.05,-0.0531,42300,0.0031,0.35
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-03,2023-03-10,11.23,16.45,0.4648263579697238,0.46172635796972383,40800,0.0031,0.35
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-10,2023-03-17,18.1,26.5,0.4640883977900552,0.4609883977900552,30500,0.0031,0.35
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-17,2023-03-24,29.15,30.47,0.04528301886792452,0.04218301886792452,30500,0.0031,0.35
2023 Sideways,sideways,5d_10%,000697.SZ,stop_loss,2023-05-12,2023-05-15,7.67,7.286499999999999,-0.05,-0.0531,59500,0.0031,0.35
2023 Sideways,bear,5d_10%,000656.SZ,stop_loss,2023-05-23,2023-05-25,1.01,0.9594999999999999,-0.05,-0.0531,444700,0.0031,0.3
2023 Sideways,bear,5d_10%,000711.SZ,matured,2023-06-01,2023-06-08,1.48,1.8,0.21621621621621623,0.21311621621621624,298700,0.0031,0.3
2023 Sideways,sideways,5d_10%,002261.SZ,stop_loss,2023-06-12,2023-06-13,20.11,19.104499999999998,-0.05,-0.0531,23300,0.0031,0.35
2023 Sideways,bear,5d_10%,000676.SZ,stop_loss,2023-10-30,2023-11-01,8.06,7.657,-0.05,-0.0531,57400,0.0031,0.4
2023 Sideways,sideways,5d_10%,002238.SZ,stop_loss,2023-11-10,2023-11-14,13.2,12.54,-0.05,-0.0531,69000,0.0031,0.44999999999999996
2023 Sideways,sideways,5d_10%,000518.SZ,stop_loss,2023-11-27,2023-11-28,4.49,4.2655,-0.05,-0.0531,147300,0.0031,0.39999999999999997
